COVID-19 Cases,,,,,,
County,2020,2021,2022,2023,2024,2025
Alachua,16056,28067,41860,8500,4835,435
Baker,2505,3706,4226,542,427,23
Bay,11581,21811,20639,3457,2632,238
Bradford,2223,3338,3366,802,325,21
Brevard,20963,68964,79975,15502,14445,2162
Broward,137658,314117,300229,51275,35203,2888
Calhoun,1260,1905,1610,426,393,42
Charlotte,7533,17593,21349,5679,2743,404
Citrus,6726,14685,16475,3677,2622,260
Clay,11538,24774,28884,5388,4595,514
Collier,22042,40937,39098,9366,6487,699
Columbia,6054,9587,9254,2102,1338,113
Miami-Dade,296608,576871,627727,97669,61521,4303
DeSoto,2902,4274,3865,735,680,66
Dixie,1138,1923,1719,385,281,11
Duval,61538,118333,128234,24641,20041,2365
Escambia,20343,37796,34070,7133,5643,642
Flagler,3778,11906,12392,2376,1953,173
Franklin,917,1368,1183,189,160,28
Gadsden,4047,5706,7322,1630,1073,101
Gilchrist,1037,2254,2169,496,239,13
Glades,776,746,734,139,70,6
Gulf,1334,1735,1856,310,288,27
Hamilton,1267,1605,1547,288,116,8
Hardee,2144,4184,3792,900,792,45
Hendry,3329,5243,4945,1005,586,43
Hernando,7506,22948,21942,4313,2535,236
Highlands,4979,12221,12731,2670,1821,281
Hillsborough,77835,194904,194015,37201,27329,2365
Holmes,1702,2288,2211,435,232,17
Indian River,7015,16733,17648,4105,3014,282
Jackson,4665,5979,6851,1861,950,93
Jefferson,1005,1678,2145,336,340,19
Lafayette,1431,836,807,189,88,14
Lake,15624,44852,45320,9770,7757,1203
Lee,39702,97357,96687,22164,17223,2188
Leon,19555,38700,51367,8861,5455,423
Levy,1880,5493,5045,1139,804,44
Liberty,757,1155,1006,253,197,20
Madison,1552,2334,2945,469,156,9
Manatee,22149,48628,48703,8978,6708,665
Marion,18217,42291,42007,9056,5003,460
Martin,7487,14472,17060,4511,3483,353
Monroe,4113,8443,9385,1569,1073,99
Nassau,4586,11420,10509,2097,2048,316
Okaloosa,12934,23570,23815,4695,3167,300
Okeechobee,2457,5356,4369,919,1016,69
Orange,77158,189142,196955,34572,27508,2484
Osceola,25327,57356,57556,10696,7998,675
Palm Beach,82613,190950,190720,40401,29282,2532
Pasco,22118,64676,68137,14111,11240,1117
Pinellas,44831,103391,119157,25457,19893,2188
Polk,37720,104807,109927,23062,19201,1901
Putnam,4060,9181,7524,1281,646,57
St. Johns,13135,31465,31825,5892,5113,532
St. Lucie,14652,38954,39418,8618,7111,628
Santa Rosa,11244,23206,23166,4951,3591,471
Sarasota,18275,42919,55667,10766,6829,845
Seminole,18169,54287,56200,10499,8190,816
Sumter,5170,10438,13439,3309,2248,328
Suwannee,4066,5479,5791,1444,714,45
Taylor,1989,2803,3114,456,213,7
Union,1476,1721,1782,330,205,17
Volusia,22202,62119,61867,12734,9607,1259
Wakulla,2177,4716,4937,1159,845,64
Walton,4503,8070,6635,1517,1121,109
Washington,1990,2763,2741,516,239,28
Unknown,1,291,2,5,357,2
Florida,1317324,2933820,3071648,581979,422038,41191
