COVID-19 Surveillance Deaths,,,,,,
County,2020,2021,2022,2023,2024,2025
Alachua,174,384,247,108,63,3
Baker,37,85,29,9,4,2
Bay,233,482,170,47,26,6
Bradford,25,103,45,25,6,0
Brevard,548,1260,670,289,254,25
Broward,1991,3063,1542,565,315,35
Calhoun,31,53,24,6,5,0
Charlotte,271,433,278,133,130,13
Citrus,286,546,286,139,80,15
Clay,216,518,225,87,60,5
Collier,362,523,258,121,101,10
Columbia,128,199,136,39,23,2
Miami-Dade,4511,4905,2681,804,529,27
DeSoto,63,77,30,16,16,1
Dixie,11,51,23,13,3,0
Duval,871,2075,849,312,224,24
Escambia,422,710,321,134,82,15
Flagler,49,234,140,76,62,5
Franklin,5,41,11,6,0,1
Gadsden,66,110,64,21,16,1
Gilchrist,33,46,30,9,5,0
Glades,15,19,3,1,2,0
Gulf,29,40,18,5,3,1
Hamilton,16,33,10,13,3,0
Hardee,19,85,34,13,9,2
Hendry,55,86,31,8,10,0
Hernando,293,647,317,110,91,5
Highlands,213,367,205,71,44,8
Hillsborough,1188,2043,1100,431,330,44
Holmes,32,42,32,6,9,0
Indian River,173,399,177,92,81,11
Jackson,123,118,52,37,24,4
Jefferson,18,32,19,4,8,0
Lafayette,24,26,13,4,2,0
Lake,349,897,513,203,161,23
Lee,687,1175,638,301,215,21
Leon,195,338,244,78,73,14
Levy,18,107,62,19,11,3
Liberty,12,14,5,2,2,1
Madison,36,47,20,15,2,0
Manatee,440,791,459,219,150,20
Marion,501,1293,645,215,99,8
Martin,211,312,223,111,94,9
Monroe,36,65,34,14,20,5
Nassau,71,185,88,34,32,3
Okaloosa,250,333,169,56,40,1
Okeechobee,59,102,38,17,18,2
Orange,824,1533,871,327,256,32
Osceola,319,642,291,102,62,8
Palm Beach,1969,2394,1523,609,454,40
Pasco,396,1231,580,273,201,23
Pinellas,1060,1706,1190,507,373,47
Polk,830,1721,820,324,259,30
Putnam,82,295,85,31,13,4
St. Johns,124,351,210,73,73,11
St. Lucie,413,637,334,138,110,8
Santa Rosa,147,382,157,78,39,7
Sarasota,533,824,649,282,202,22
Seminole,319,584,343,152,88,15
Sumter,134,344,209,107,60,12
Suwannee,94,175,82,24,12,0
Taylor,28,55,31,9,5,1
Union,70,33,20,4,2,0
Volusia,493,1211,586,316,227,20
Wakulla,30,75,36,6,12,0
Walton,56,121,54,29,12,4
Washington,34,56,33,17,6,2
Unknown,0,6,0,0,3,0
Florida,23351,39870,21312,8446,6006,661
